song_title,pipe_delimited_artist_list,love_song_category,top_10_debut_date_as_decimal,total_weeks_in_top_10
"Lonely Blue Boy","Conway Twitty",Heartache,1960.11,3
"Let It Be Me","The Everly Brothers",Serenade,1960.13,4
"The Theme From ""A Summer Place""","Percy Faith",,1960.13,12
"Beyond The Sea","Bobby Darin",Heartache,1960.14,4
"Baby (You've Got What It Takes)","Dinah Washington|Brook Benton",Pursuit,1960.16,6
"Wild One","Bobby Rydell",Serenade,1960.16,8
"Puppy Love","Paul Anka",Serenade,1960.2,7
"Harbor Lights","The Platters",Heartache,1960.2,4
"Sweet Nothin's","Brenda Lee",Serenade,1960.22,7
"Forever","The Little Dippers",Serenade,1960.24,1
"O Dio Mio","Annette",Heartache,1960.24,1
"Mama","Connie Francis",,1960.26,3
"Sink The Bismark","Johnny Horton",,1960.26,7
"Footsteps","Steve Lawrence",Pursuit,1960.26,2
"Greenfields","The Brothers Four",Heartache,1960.28,9
"I Love The Way You Love","Marv Johnson",Serenade,1960.28,1
"Stuck On You","Elvis Presley|The Jordanaires",Serenade,1960.3,10
"Sixteen Reasons","Connie Stevens",Serenade,1960.3,7
"White Silver Sands","Bill Black's Combo",,1960.32,1
"The Old Lamplighter","The Browns|Jim Edward Brown",,1960.32,3
"Cradle Of Love","Johnny Preston",Serenade,1960.34,5
"Night","Jackie Wilson",,1960.34,6
"Let The Little Girl Dance","Billy Bland",,1960.34,4
"Cathy's Clown","The Everly Brothers",Heartache,1960.36,9
"Stairway To Heaven","Neil Sedaka",Serenade,1960.36,1
"He'll Have To Stay","Jeanne Black",Heartache,1960.37,6
"Good Timin'","Jimmy Jones",,1960.37,7
"Paper Roses","Anita Bryant",Heartache,1960.39,6
"Burning Bridges","Jack Scott",It's Complicated,1960.41,6
"Everybody's Somebody's Fool","Connie Francis",Heartache,1960.43,8
"Love You So","Ron Holden|The Thunderbirds",Serenade,1960.43,3
"Swingin' School","Bobby Rydell",Serenade,1960.45,3
"Happy-Go-Lucky-Me","Paul Evans",,1960.45,1
"Alley-Oop","Hollywood Argyles",,1960.47,8
"I'm Sorry","Brenda Lee",Heartache,1960.49,11
"Because They're Young","Duane Eddy|The Rebels",,1960.49,4
"A Rockin' Good Way (To Mess Around And Fall In Love)","Dinah Washington|Brook Benton",Pursuit,1960.49,3
